Red,Green,Blue,Name
0,0,0,black
0,0,16,black
0,0,32,black
0,0,48,black
0,0,64,midnightblue
0,0,80,midnightblue
0,0,96,navy
0,0,112,navy
0,0,128,navy
0,0,144,darkblue
0,0,160,darkblue
0,0,176,mediumblue
0,0,192,mediumblue
0,0,208,mediumblue
0,0,224,mediumblue
0,0,240,blue
0,16,0,black
0,16,16,black
0,16,32,black
0,16,48,black
0,16,64,midnightblue
0,16,80,midnightblue
0,16,96,midnightblue
0,16,112,navy
0,16,128,navy
0,16,144,darkblue
0,16,160,darkblue
0,16,176,mediumblue
0,16,192,mediumblue
0,16,208,mediumblue
0,16,224,mediumblue
0,16,240,blue
0,32,0,black
0,32,16,black
0,32,32,black
0,32,48,black
0,32,64,midnightblue
0,32,80,midnightblue
0,32,96,midnightblue
0,32,112,midnightblue
0,32,128,midnightblue
0,32,144,darkblue
0,32,160,darkblue
0,32,176,mediumblue
0,32,192,mediumblue
0,32,208,mediumblue
0,32,224,mediumblue
0,32,240,blue
0,48,0,black
0,48,16,black
0,48,32,black
0,48,48,darkslategray
0,48,64,darkslategray
0,48,80,midnightblue
0,48,96,midnightblue
0,48,112,midnightblue
0,48,128,midnightblue
0,48,144,midnightblue
0,48,160,darkblue
0,48,176,mediumblue
0,48,192,mediumblue
0,48,208,mediumblue
0,48,224,mediumblue
0,48,240,blue
0,64,0,darkgreen
0,64,16,darkgreen
0,64,32,darkgreen
0,64,48,darkslategray
0,64,64,darkslategray
0,64,80,darkslategray
0,64,96,midnightblue
0,64,112,midnightblue
0,64,128,midnightblue
0,64,144,midnightblue
0,64,160,midnightblue
0,64,176,mediumblue
0,64,192,mediumblue
0,64,208,mediumblue
0,64,224,mediumblue
0,64,240,blue
0,80,0,darkgreen
0,80,16,darkgreen
0,80,32,darkgreen
0,80,48,darkgreen
0,80,64,darkslategray
0,80,80,darkslategray
0,80,96,darkslategray
0,80,112,teal
0,80,128,teal
0,80,144,teal
0,80,160,teal
0,80,176,teal
0,80,192,royalblue
0,80,208,royalblue
0,80,224,royalblue
0,80,240,royalblue
0,96,0,darkgreen
0,96,16,darkgreen
0,96,32,darkgreen
0,96,48,darkgreen
0,96,64,darkslategray
0,96,80,darkslategray
0,96,96,teal
0,96,112,teal
0,96,128,teal
0,96,144,teal
0,96,160,teal
0,96,176,darkcyan
0,96,192,darkcyan
0,96,208,royalblue
0,96,224,dodgerblue
0,96,240,dodgerblue
0,112,0,darkgreen
0,112,16,darkgreen
0,112,32,darkgreen
0,112,48,forestgreen
0,112,64,forestgreen
0,112,80,teal
0,112,96,teal
0,112,112,teal
0,112,128,teal
0,112,144,teal
0,112,160,darkcyan
0,112,176,darkcyan
0,112,192,darkcyan
0,112,208,dodgerblue
0,112,224,dodgerblue
0,112,240,dodgerblue
0,128,0,green
0,128,16,green
0,128,32,green
0,128,48,forestgreen
0,128,64,forestgreen
0,128,80,seagreen
0,128,96,teal
0,128,112,teal
0,128,128,teal
0,128,144,darkcyan
0,128,160,darkcyan
0,128,176,darkcyan
0,128,192,darkcyan
0,128,208,dodgerblue
0,128,224,dodgerblue
0,128,240,dodgerblue
0,144,0,green
0,144,16,green
0,144,32,forestgreen
0,144,48,forestgreen
0,144,64,forestgreen
0,144,80,seagreen
0,144,96,teal
0,144,112,teal
0,144,128,darkcyan
0,144,144,darkcyan
0,144,160,darkcyan
0,144,176,darkcyan
0,144,192,lightseagreen
0,144,208,dodgerblue
0,144,224,dodgerblue
0,144,240,dodgerblue
0,160,0,green
0,160,16,green
0,160,32,forestgreen
0,160,48,forestgreen
0,160,64,forestgreen
0,160,80,seagreen
0,160,96,teal
0,160,112,darkcyan
0,160,128,darkcyan
0,160,144,darkcyan
0,160,160,darkcyan
0,160,176,lightseagreen
0,160,192,lightseagreen
0,160,208,darkturquoise
0,160,224,deepskyblue
0,160,240,deepskyblue
0,176,0,green
0,176,16,green
0,176,32,forestgreen
0,176,48,forestgreen
0,176,64,forestgreen
0,176,80,seagreen
0,176,96,darkcyan
0,176,112,darkcyan
0,176,128,darkcyan
0,176,144,darkcyan
0,176,160,lightseagreen
0,176,176,lightseagreen
0,176,192,darkturquoise
0,176,208,darkturquoise
0,176,224,darkturquoise
0,176,240,deepskyblue
0,192,0,lime
0,192,16,limegreen
0,192,32,limegreen
0,192,48,limegreen
0,192,64,limegreen
0,192,80,limegreen
0,192,96,mediumseagreen
0,192,112,darkcyan
0,192,128,darkcyan
0,192,144,lightseagreen
0,192,160,lightseagreen
0,192,176,lightseagreen
0,192,192,darkturquoise
0,192,208,darkturquoise
0,192,224,darkturquoise
0,192,240,deepskyblue
0,208,0,lime
0,208,16,lime
0,208,32,limegreen
0,208,48,limegreen
0,208,64,limegreen
0,208,80,limegreen
0,208,96,springgreen
0,208,112,springgreen
0,208,128,springgreen
0,208,144,mediumspringgreen
0,208,160,mediumspringgreen
0,208,176,darkturquoise
0,208,192,darkturquoise
0,208,208,darkturquoise
0,208,224,darkturquoise
0,208,240,deepskyblue
0,224,0,lime
0,224,16,lime
0,224,32,lime
0,224,48,limegreen
0,224,64,limegreen
0,224,80,springgreen
0,224,96,springgreen
0,224,112,springgreen
0,224,128,springgreen
0,224,144,mediumspringgreen
0,224,160,mediumspringgreen
0,224,176,mediumspringgreen
0,224,192,darkturquoise
0,224,208,darkturquoise
0,224,224,darkturquoise
0,224,240,aqua
0,240,0,lime
0,240,16,lime
0,240,32,lime
0,240,48,lime
0,240,64,limegreen
0,240,80,springgreen
0,240,96,springgreen
0,240,112,springgreen
0,240,128,springgreen
0,240,144,mediumspringgreen
0,240,160,mediumspringgreen
0,240,176,mediumspringgreen
0,240,192,darkturquoise
0,240,208,darkturquoise
0,240,224,aqua
